epoch,train_total,train_dice,val_total,val_dice
1,1.2164727394280481,0.2885885420550223,1.324043278336525,0.31325119977045046
2,1.2094569672232887,0.2864059231587849,1.3314902392029762,0.314805211489464
3,1.2121748049596597,0.2870324315879331,1.324389533340931,0.3127663421706955
4,1.2070389989426353,0.2856781383800533,1.3218860338926315,0.31219417992914944
5,1.1829261568702063,0.27946812614104233,1.3221030555963516,0.31257285957315695
6,1.1845157146896153,0.27982083301247934,1.322945327401161,0.31271589046138815
7,1.2074419838388026,0.28564350880468814,1.317944280922413,0.3110318817192673
8,1.1799898158131321,0.2790385446886189,1.3166883165836334,0.31098027303064146
9,1.197662398670583,0.28311987877951367,1.323226854264736,0.3125381236622602
10,1.1703499539047613,0.2763917138521853,1.31772461527586,0.31087675912116125
11,1.1789823952064211,0.2783876633207038,1.3137360129356384,0.30987577868584043
12,1.194199245367166,0.2824813377539424,1.3126772012114525,0.30967574464963626
13,1.169580736322709,0.2761771288859518,1.31222496175766,0.3094457955063806
14,1.1815543755785458,0.2792872929213439,1.3115058335065841,0.3098097807104045
15,1.1996487430321874,0.2838614507508214,1.3154479013681413,0.31022372933093717
16,1.182700876421946,0.27981019767141446,1.3141179861426353,0.30955683501355896
17,1.1782560966521716,0.27830974865602437,1.3188947394490242,0.31118775810050114
18,1.171913074982089,0.2771530197632889,1.3160968942642213,0.31023747679593505
19,1.164628717742066,0.2753742166695808,1.3092551716566085,0.3085512038755412
20,1.1561732871982011,0.2729023411478336,1.3091530986428261,0.30890635900855823
21,1.1519621537395797,0.2721545494772413,1.3100504010915757,0.3089408318304844
22,1.1581576276991157,0.27376873818590003,1.3114525456428527,0.30929072684070696
23,1.1492955051637905,0.2715913007879273,1.3106033767461778,0.30887998856560206
24,1.1402584453151765,0.2689764441515063,1.308505414068699,0.30832577477073464
25,1.1246120780614608,0.26529016584745463,1.3071619099378586,0.3080185078624027
26,1.144476752918494,0.27022566160536493,1.307540066242218,0.30814335152790057
27,1.1649746844523308,0.27544082955344895,1.3087490124702454,0.3085298904393817
28,1.1393523814480444,0.26921329077604705,1.30750166285038,0.30810991042619834
29,1.135485625947662,0.26764695782530423,1.3083680195808411,0.3082752785395007
30,1.1526808520874148,0.27199691851827,1.3067561801075935,0.3078655140483462
31,1.13547140011634,0.26802870378414456,1.3069323093891143,0.3079067090049985
32,1.158670895061152,0.2737415692298325,1.3055537679791451,0.30755463661268895
33,1.1372548717593167,0.2686161540132661,1.3050725873708724,0.3075631008774433
34,1.1432361498944075,0.27010058809467874,1.306417416036129,0.30785807218956107
35,1.1500502720844052,0.27166101146208993,1.3056388974785804,0.30772853192765715
36,1.1394837550847294,0.2690815929181009,1.3061696802973748,0.30774316162540655
37,1.1557345642144108,0.2732372158023403,1.3079341039061547,0.3081741721376895
38,1.1545338887482628,0.27277554986662383,1.3057882393598557,0.307746037390277
39,1.142883734129149,0.26999363727119846,1.3055268151760102,0.3076812943640431
40,1.1557545744576976,0.27303161626968747,1.305535695195198,0.30768720580146736
41,1.1476940091467365,0.27111376811090426,1.3055591863393783,0.3076105957839824
42,1.1567361816742179,0.2733548310481839,1.3058403436541557,0.3077027059448179
43,1.1549582135501422,0.27287424432298435,1.3053927387595177,0.3075639860459849
44,1.1416660971225217,0.26967935394072884,1.3057459903359414,0.3076830300897006
45,1.1461688455679924,0.27091361727151586,1.3058902881145478,0.3076557168567983
46,1.1602423559735766,0.27419439628453235,1.3060950475931168,0.30773135496272075
47,1.133484402481186,0.26741752159762827,1.3059581138491632,0.3077121404622712
48,1.142520301098231,0.26975106981136754,1.3055211139917373,0.3075765689699095
49,1.1408334970916538,0.26940905491252864,1.3057220506072045,0.30760943468345453
50,1.141513853920557,0.2696979169732711,1.3053702669739724,0.30752778030371775
