epoch,train_total,train_ce,train_ce_weighted,train_lovasz,train_dice,train_dice_weighted,val_total,val_ce,val_ce_weighted,val_lovasz,val_dice,val_dice_weighted,val_miou,train_grad_norm_main,train_grad_norm_decoder,train_scaler_scale,train_conf_mean,val_conf_mean,train_valid_ratio,val_valid_ratio,train_pred_conf_mean,val_pred_conf_mean,train_pred_entropy,val_pred_entropy,train_logit_margin,val_logit_margin,train_inject_cos_sim,val_inject_cos_sim,train_inject_gate,val_inject_gate,train_inject_delta_norm,val_inject_delta_norm,train_head_delta_norm,val_head_delta_norm,train_inject_gate_s0,train_inject_gate_s1,train_inject_gate_s2,train_inject_gate_s3,val_inject_gate_s0,val_inject_gate_s1,val_inject_gate_s2,val_inject_gate_s3,train_inject_cos_s0,train_inject_cos_s1,train_inject_cos_s2,train_inject_cos_s3,val_inject_cos_s0,val_inject_cos_s1,val_inject_cos_s2,val_inject_cos_s3,val_iou_road,val_iou_sidewalk,val_iou_building,val_iou_wall,val_iou_fence,val_iou_pole,val_iou_light,val_iou_sign,val_iou_vegetation,val_iou_terrain,val_iou_sky,val_iou_person,val_iou_rider,val_iou_car,val_iou_truck,val_iou_bus,val_iou_train,val_iou_motorcycle,val_iou_bicycle
1,9.578729267418385,2.759930113404989,3.831368574202061,0.9291335726901889,0.9256665401160717,0.9868585518747568,8.51473927967654,1.9557716294462457,3.326316915122159,0.8787145287238906,0.9057010528195668,0.9833909370041833,0.09019844979047775,4.299221974313259,0.003608594179095235,2048.0,0.52236740230117,0.5671092276943142,0.7827542114257813,0.8036748576046798,0.22937594131566585,0.2809969606657921,0.8473157128691673,0.7816841040045169,0.09742896980140359,0.1335838912376042,0.9980020809173584,0.9799803241426721,0.05000000819563866,0.05000000819563866,0.006442809141934927,0.022942012503590806,4.181749390661716,4.203500098782807,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.9999659736081958,0.9921018692478537,0.9999483919888735,0.9999920888245106,0.9997305947865172,0.9209814701467899,0.9992189837500379,0.9999902478873436,0.5697829723358154,0.08192038536071777,0.33262577652931213,0.007206437177956104,3.572739296942018e-05,0.028240345418453217,0.0132589777931571,0.009357442148029804,0.1292800009250641,0.003960809204727411,0.488203227519989,0.023593928664922714,0.00018519003060646355,0.021539198234677315,0.0021954705007374287,0.000431884138379246,0.0018170701805502176,2.7463018341222778e-05,0.00010829860548255965
2,11.818653383255004,1.7141050260141493,5.010742793083191,0.845836646258831,0.8495584731549024,0.9513311541453003,15.527794288297004,1.809887506691693,6.8793436682283,0.8461457583410986,0.8049921607736297,0.922961199812114,0.07666361331939697,6.0226854661107065,0.06126255626324564,2048.0,0.52236740230117,0.5294953248293822,0.7827542114257813,0.7963031336591748,0.4922468570526689,0.6641575719041778,0.46623359179124235,0.2888007836388837,0.24312778003048152,0.43508037007207356,0.8957402577158063,0.868135814045744,0.05000000819563866,0.05000000819563866,0.09665174122840646,0.10206724198711235,3.9037844267487527,3.8242696975839547,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.9946943110227585,0.8299916411191225,0.7693177854269743,0.9889572932943702,0.9946441916115766,0.8328425176625182,0.6677632381763364,0.9772933087325448,0.019616641104221344,0.0018056933768093586,0.31555110216140747,0.0017888438887894154,0.0031793599482625723,0.02615617960691452,0.08367013186216354,0.08092853426933289,0.374542236328125,0.022981129586696625,0.47346144914627075,0.049017127603292465,0.00226721353828907,0.0005647873622365296,0.0002243634226033464,2.557450670792605e-06,8.410946611547843e-05,0.0007673065410926938,0.0
3,17.67088545203209,2.0325925355777144,7.964513146579265,0.8354819848760963,0.7747908398136496,0.9063771840557456,19.960143169158787,2.0488696408095617,9.119941704378927,0.8231988139634062,0.7526965633108111,0.8970609368949101,0.09389667212963104,15.69494558095932,0.11621468017809093,2048.0,0.52236740230117,0.5301388012327878,0.7827542114257813,0.8049484779094828,0.7291566992923617,0.7380509891827118,0.22683485387358815,0.19613171113755903,0.5286019189096988,0.513444803398231,0.8528524685744197,0.8421176628673018,0.05000000819563866,0.05000000819563866,0.12330512246920498,0.12024624534222098,3.8357165962457658,3.8193910509494726,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.05000000819563866,0.992059382200241,0.8270095814019441,0.6421676132827997,0.9501732974126935,0.9925901198328422,0.8259068419193399,0.6328900033617254,0.9170836863552996,0.07017228752374649,0.001991960220038891,0.28039371967315674,0.01147508155554533,0.0021634865552186966,0.31758761405944824,0.039642084389925,0.06494440883398056,0.421460896730423,0.022180484607815742,0.4982264041900635,0.03546410799026489,0.0107219023630023,0.0020724947098642588,0.0005838351789861917,1.5924648323561996e-05,5.086772216600366e-05,0.004889314994215965,0.0
4,23.379792492985725,2.020259499102831,10.860354630053044,0.7847887387126684,0.7241030655056239,0.8742944916337728,27.135287383507038,1.8129443783918624,12.768650524721945,0.7330237725391764,0.7025883845214186,0.8649625700389223,0.15503038465976715,9.216133031845093,0.1845814840309322,2048.0,0.52236740230117,0.5675953171523334,0.7827542114257813,0.8004559296105296,0.7907752181589603,0.8588528727075736,0.15602402641437949,0.1189636522215869,0.607506850566715,0.736405396990001,0.852078998638317,0.8532736371890665,0.05000534068560228,0.04999861679971218,0.12170600052085391,0.09903356261234901,3.9210231530666353,4.020128049873954,0.04998680064454675,0.04997782403603196,0.04998320826329291,0.05007352979853749,0.04995245859026909,0.04994915798306465,0.04999929293990135,0.05009355768561363,0.9921042405441404,0.8529998580738902,0.6595539890602231,0.9036579068750143,0.9949698226498853,0.8634768191523152,0.674683318936766,0.8799645880172993,0.492940217256546,0.3876100480556488,0.029380254447460175,0.04430684447288513,0.04099094867706299,0.4150119721889496,0.01942230574786663,0.11720896512269974,0.4515543580055237,0.1949903964996338,0.6960480809211731,0.039225898683071136,0.014144271612167358,0.001649349695071578,4.85482050862629e-05,0.0,3.891197593475226e-06,0.001040908508002758,0.0
5,30.945161443948745,2.438341859942302,14.676717247962952,0.7344889481551945,0.6973500197008252,0.857238017693162,31.842459401473622,2.3326697709965587,15.153998264538243,0.6763567832009546,0.6832437849984381,0.8581060524938142,0.21029989421367645,5.566661878824234,0.19302148041315376,2053.12,0.52236740230117,0.510547414293577,0.7827542114257813,0.8064824747921798,0.893396796323359,0.9382216786516124,0.08887963210814633,0.05478155018825983,0.7988280994445085,0.8837270165605499,0.8744075450208038,0.8893154811462746,0.0499854221357964,0.04996307287365198,0.11741862607493016,0.11168951744327704,4.004053138196468,4.055930016663274,0.0499279139470309,0.04994445748627186,0.04999970338307321,0.05006961372680962,0.04987772926688194,0.049923304468393326,0.04999274015426636,0.0500585176050663,0.9927380404621363,0.8672753070294857,0.7207652174308896,0.9168516151607037,0.9935576009926538,0.8616767274628719,0.8209695435803512,0.8810580525492212,0.7904340624809265,0.5244702100753784,0.003316673217341304,0.11466049402952194,0.1790408343076706,0.5215707421302795,0.07570667564868927,0.31953129172325134,0.45364680886268616,0.09759996831417084,0.8421637415885925,0.0465443953871727,0.005855452734977007,0.015945076942443848,0.0012719165533781052,4.056091347592883e-05,5.7405784900765866e-05,0.003786387387663126,5.518743637367152e-05
6,6.51335875928402,0.8419587611407041,2.4685254188627006,0.6142216911353171,0.828256395868957,0.9620862247422337,5.639690946475626,0.6439002947560672,2.0700206962125054,0.5438183523310817,0.8005207749129516,0.9558312059036029,0.385748028755188,3.586485596895218,7.07442648768425,1031.68,0.52236740230117,0.555143452483445,0.7827542114257813,0.8103706848445197,0.5583023591339589,0.6166509159386452,0.5324915078724735,0.4895975500932468,0.43092163229361174,0.5123122978973859,0.8499143680371344,0.8364485486828047,0.04978086441522464,0.0497437072917819,0.1569969295510985,0.17679016485944873,4.21975189730525,4.209008164006501,0.0495746014919132,0.049754118118435144,0.04991739154793322,0.049877346502617,0.04942705109715462,0.04973536357283592,0.0499347522854805,0.04987766221165657,0.9869021164998412,0.8610025424137712,0.747049759849906,0.8047030533850194,0.9838499683758308,0.8537009285001332,0.7209570357952212,0.7872862620600338,0.93059903383255,0.733603835105896,0.8037095665931702,0.35329607129096985,0.13172338902950287,0.44185179471969604,0.16053526103496552,0.29915478825569153,0.834983229637146,0.35829874873161316,0.9624519348144531,0.39208874106407166,0.0016839690506458282,0.7053936123847961,0.023948639631271362,0.0019164931727573276,0.14466312527656555,0.0031361461151391268,0.046174027025699615
7,5.4076657220721245,0.5925312674418092,1.9611395184695721,0.5288751872256399,0.8093986097350716,0.9565115018561482,5.386092460801449,0.6302796249906418,1.9565114881017525,0.5215470802607794,0.7968314511728991,0.9515224229819669,0.44738712906837463,1.9712025000154971,4.502362878024578,1024.0,0.52236740230117,0.6026868076233441,0.7827542114257813,0.8014204654787561,0.6162409256771206,0.6059803774791398,0.4974755676276982,0.5083998410132131,0.5150229767896235,0.502589266728885,0.8352926248591394,0.8346620286479959,0.04976609879639,0.04976925905793905,0.19481206443989119,0.17126401004575753,4.168112576752901,4.177451159566494,0.049414615267887714,0.049755808617919686,0.0499820960033685,0.0499118752963841,0.04935295507311821,0.0497613288462162,0.05003683269023895,0.049925919622182846,0.980213929452002,0.8674142838269472,0.6981692787259817,0.7953730074316263,0.9848706990920851,0.874754957377617,0.6616927677481045,0.8173296903741771,0.9351377487182617,0.7621758580207825,0.8311811685562134,0.4929552972316742,0.3742508292198181,0.48415789008140564,0.17447161674499512,0.34496554732322693,0.8401094675064087,0.44498369097709656,0.9658777117729187,0.39254775643348694,0.001542433863505721,0.7641850709915161,0.16464221477508545,0.00567454332485795,0.3697424530982971,0.009325469844043255,0.1424284726381302
8,5.2091960027813915,0.545823628269136,1.8806214310228824,0.49703565940260885,0.8043192600831389,0.9509174855053425,5.285905917877047,0.5961441393996695,1.9184846117578704,0.5006997724765627,0.7977104245735507,0.9482369464019249,0.509263813495636,1.6964230574667454,4.17343074709177,1024.0,0.52236740230117,0.549255941797213,0.7827542114257813,0.8051475186653325,0.6300683829374611,0.6174012569371116,0.4872376224026084,0.5007251227283712,0.5338051208481193,0.5188173125383302,0.8320420092903078,0.8262824845945307,0.04981842624954879,0.04985417705029249,0.21103999557383518,0.17792999376902918,4.151066145896912,4.142914346286228,0.04940926137380302,0.04981383010745048,0.05008473034016788,0.049965883176773786,0.04940788820385933,0.049836255609989166,0.05014229193329811,0.05003027245402336,0.9766518483310938,0.8634478054940701,0.6796559743583203,0.8084124089777469,0.9836508640514806,0.8450000403549871,0.6714464069293637,0.8050326270422912,0.9394221901893616,0.7585864663124084,0.8463110327720642,0.4973413348197937,0.38541704416275024,0.5625939965248108,0.41644713282585144,0.44238996505737305,0.8555291891098022,0.4444299638271332,0.9681413173675537,0.45700904726982117,0.006679124664515257,0.812843918800354,0.4778948128223419,0.009314976632595062,0.523875892162323,0.01700025238096714,0.2547849714756012
9,5.069511543810368,0.5159088600613176,1.8263172585889698,0.4717340896092355,0.802289690747857,0.9451429361850023,5.166196607016578,0.5569439974471266,1.8722743133605995,0.48059548533021523,0.7965908300113208,0.9410524946715444,0.5270615816116333,1.4264689587056636,3.6781941896677015,1024.0,0.52236740230117,0.5581059766924147,0.7827542114257813,0.8120255493765394,0.6410882148146629,0.6411304251460607,0.4797077094577253,0.480789478262657,0.5503041314519942,0.5518384224235131,0.8302402746491134,0.8294716288743935,0.049915421814657746,0.04996082745492458,0.21455311388248016,0.22603169766226053,4.134853623509407,4.144764544341364,0.04951593994162977,0.04987386828288436,0.05022889402695,0.05004298500716686,0.04957938566803932,0.04988521710038185,0.05030393600463867,0.05007477104663849,0.9760222667083144,0.8534968680143357,0.6726031838357449,0.8188387800380588,0.9736727583290908,0.884079103692999,0.645923644451085,0.8142110090243992,0.9469278454780579,0.7734516859054565,0.8489875197410583,0.5408102869987488,0.4077063202857971,0.5447276830673218,0.5111878514289856,0.4487663209438324,0.8734372854232788,0.451962947845459,0.9711377620697021,0.5021312236785889,0.004817697685211897,0.8257019519805908,0.5247746706008911,0.02882988192141056,0.5231925845146179,0.04340485483407974,0.24221205711364746
10,4.976770657598973,0.49604017214849594,1.7903920374065638,0.4557487622369081,0.8031824887543917,0.9402378204092383,5.089922997751847,0.5404550922768456,1.84401867483637,0.46542632748634355,0.7933758870134213,0.9364593169959308,0.557157039642334,1.3651189449429513,3.6449498078227043,1024.0,0.52236740230117,0.5890139418429342,0.7827542114257813,0.8174808295489532,0.6503171788528561,0.6510494048959516,0.4738778332993388,0.47280711787087576,0.5637169659696519,0.5654790240702371,0.8279663706663996,0.8288244765820761,0.05004250277299434,0.050091322511434555,0.22041958418937121,0.21138963787553194,4.113953817486763,4.103724898375901,0.049684335626661774,0.0499803402274847,0.050375784058123825,0.05012955117970705,0.04974588379263878,0.050017960369586945,0.05042340233922005,0.05017804354429245,0.9747694405168295,0.8497592131048441,0.6596030901744961,0.8277337388694286,0.9769635938952121,0.832402300218056,0.6746819834110185,0.831250028804018,0.9536552429199219,0.8055416345596313,0.8639569878578186,0.5178434252738953,0.4572347402572632,0.5708928108215332,0.5588999390602112,0.5639967918395996,0.8659551739692688,0.523248016834259,0.970093846321106,0.4984959661960602,0.0037865929771214724,0.8501598834991455,0.5171031355857849,0.11184205859899521,0.6002049446105957,0.04179616644978523,0.31127673387527466
