epoch,train_total,train_dice,val_total,val_dice
1,2.480688095119478,0.8807592592140938,2.3222016439437865,0.869394207982165
2,2.472379148981157,0.8773557346785976,2.473741949558258,0.8705501582214589
3,2.3482003577961503,0.8591861489007474,2.12026175904274,0.8626481300745611
4,2.093216119501005,0.8486494995707022,2.043582717180252,0.8435821681578742
5,2.116077838445543,0.8492610338149567,2.0901967332363127,0.8498431062216395
6,2.0536035116641753,0.8426680829478357,2.0136824979782104,0.8460050840941372
7,2.0125659187341034,0.8376540451231563,1.9795777761936189,0.8330884295138925
8,1.9912316942968036,0.8306987425968879,1.990724660396576,0.8345362275888097
9,1.958451345736515,0.8256163958063975,1.941148133993149,0.8096749177536777
10,1.7884480480745595,0.7491933207073235,1.6552507480382919,0.68044068802646
11,1.4824429991451429,0.614240002145228,1.4076830714941024,0.5806213206041148
12,1.3153224766027436,0.5486879521422313,1.3221093790531158,0.5531738822214702
13,1.1909004735249666,0.4968335940085322,1.1949382911920547,0.49386010560479604
14,1.1162524965498264,0.4641551725063453,1.1112773544192314,0.4623385056273821
15,1.042771437193691,0.4370879157153688,1.0538204656839372,0.44093658383834267
16,0.9943430277545633,0.4178284100694147,1.0158303629159928,0.4279263993704784
17,0.9627348501585744,0.4052134638623276,1.0086923454403878,0.42482509400400437
18,0.9432384180335669,0.3981518833347222,0.9742050160169602,0.4114198256163417
19,0.9094190376119748,0.3832994807542726,0.9357383032441139,0.39691510380034467
20,0.8988917428552837,0.3799917988252151,0.94329452419281,0.3988019969434458
21,0.8801526032625214,0.3726858463485503,0.9068078307509422,0.38547224242279937
22,0.8774634214772385,0.37310607404211066,0.900206801712513,0.3831330077285891
23,0.8556034668335378,0.3633359610175396,0.8914341951012611,0.38039483245021216
24,0.8371278665881391,0.35603424580267046,0.8737845306992531,0.3730879332969045
25,0.8277471466073398,0.3525708557719645,0.8711930740475654,0.37187767044851566
26,0.8261420199610826,0.3517914803758742,0.8575369559526443,0.3680463417488177
27,0.8079624833425634,0.34342043291390134,0.8595122538208961,0.3670314407128265
28,0.7980428814644321,0.3397593610233481,0.8351475536227226,0.35892607339108223
29,0.7972436628294408,0.3392397496301857,0.84988652998209,0.3647920831001976
30,0.7928983377698329,0.3383346412713636,0.8210775508284569,0.3509345137398355
31,0.7810672695321234,0.333616367929583,0.8388665348887444,0.3582727766668395
32,0.7754723176036338,0.33053172064840497,0.8348052853345871,0.3553900786906292
33,0.7760507898592127,0.3318916563291809,0.8088719690442085,0.34701611736893073
34,0.7620758493222284,0.3256195833107621,0.8067161409258843,0.34341307313352576
35,0.7586845070295584,0.3237897086234294,0.80101857984066,0.34319929203023647
36,0.7518715455637424,0.32182329213257843,0.7912881418466567,0.3384107160275572
37,0.7510322087809884,0.32110934271482766,0.8003390339612961,0.34286008131249257
38,0.7550812279371591,0.32431686495118117,0.7894969766736031,0.3385770226443144
39,0.7369394110236985,0.31543045916695833,0.7878739355504513,0.33666817251850295
40,0.7481695948323855,0.32085022241491334,0.7940893207490444,0.33850763339104406
41,0.7427024100314639,0.31909618958866465,0.7874656208753585,0.33702555388148153
42,0.7334443716416603,0.3147880634918295,0.7794411954879761,0.33490803713506023
43,0.7264517362264575,0.3114444600237954,0.7776883244216443,0.3339811230023889
44,0.7164420007217315,0.30677219814973594,0.7765470511913299,0.3344785069589323
45,0.7206023057795874,0.30975656862745654,0.7750212450325489,0.33186802875145555
46,0.7129654147074721,0.3057311104060892,0.770193028897047,0.3303474897160563
47,0.7220502927487108,0.31151087188441196,0.7667429763674736,0.3271709206907007
48,0.7140703633632911,0.30670819783376335,0.7815590482950211,0.3353744206176374
49,0.7031453030132171,0.3019007301734697,0.7669411836266518,0.32997767584208315
50,0.7020825915118699,0.30072862145756857,0.7621330727934837,0.3268295587595904
